row,member_id,member,xl_name,country,source,student_send,student_accept,teacher_send,teacher_accept,note,skipped_departments
14,130,Nakhchivan State University,Nahçıvan Devlet Üniversitesi / Nakhchivan State University,Azerbaijan,asosiy jadval,20,20,20,20,Fall/Spring 10/10 · Term: Fall and Spring · Dormitory: Yes · Meals: Yes,"Bilgi Teknolojisi, Enerji Mühendisliği, Ulaşım Mühendislik, "
15,128,Azerbaijan Tourism and Management University,Azerbaycan Turizm ve Menecment Üniversitesi / Azerbaijan Tourism and Management University,Azerbaijan,asosiy jadval,18,18,14,14,students in Fall/Spring 9/9; students out Fall/Spring 9/9; staff in Fall/Spring 7/7; staff out Fall/Spring 7/7 · Term: Fall and Spring · Dormitory: No · Meals: No,"Uluslararası İlişkiler, Mütercimlik (diller üzrə), Müze, Arş"
16,132,Azerbaijan Technical University,Azerbaucan Teknik Üniversitesi / Azerbaijan Technical University,Azerbaijan,asosiy jadval,30,30,20,20,Term: Fall and Spring · Dormitory: For Students No For Staff Yes · Meals: Yes (1 meal (only lunch) a day),Lisans için: Bilgisayar Mühendisliği; Bilgisayar Bilimleri; 
17,17,Azerbaijan University of Languages,Azerbaycan Diller Üniversitesi / Azerbaijan University of Languages,Azerbaijan,asosiy jadval,4,4,4,4,"Term: Fall and Spring · Dormitory: (Please read the ""additional information"") · Meals: 2 meals (5 days a week)",All faculties https://adu.edu.az/en/education/bakalavr/
18,21,Azerbaijan Sport Academy,Azerbaycan Spor Akademisi / Azerbaijan Sports Academy,Azerbaijan,asosiy jadval,4,4,8,4,Term: Fall and Spring · Dormitory: Accomodation will be provided · Meals: Not available,"Spor biliimleri (Coaching, Physical Education, Sport Managem"
19,26,Al-Farabi Kazakh National University,Al-Farabi Kazakh National University,Kazakhstan,asosiy jadval,40,40,20,20,"Term: Fall and Spring · Dormitory: Yes, if places are available · Meals: No",all faculties offered by our university
20,33,K.Zhubanov Aktobe Regional University,"K. Jhubanov Aktöbe Bölgesel Üniversitesi, Kazakistan/ K. Zhubanov Aktobe Regional University",Kazakhstan,asosiy jadval,30,30,30,30,Fall/Spring 15/15 · Term: Fall and Spring · Dormitory: Yes · Meals: No,"Tarih ve Coğrafya Fakültesi, Eğitimde Pedagoji ve Yönetim Fa"
21,38,Karaganda Buketov University,Karaganda National Research University named after academician Ye.A.Buketov,Kazakhstan,asosiy jadval,10,10,10,10,Term: Fall and Spring · Dormitory: Yes · Meals: No,1. Faculty of Biology and Geography 2. Faculty of History 3.
22,39,Kyzylorda University named after Korkyt Ata,Korkyt Ata Kyzylorda University,Kazakhstan,asosiy jadval,20,5,20,5,Term: Fall and Spring · Dormitory: yes · Meals: only breakfast,English Language; Two Foreign languages (second languages: k
23,136,Kazakh American Free University,Qazaqstan-Amerikandyq erkin universiteti/Kazakh American Free University,Kazakhstan,asosiy jadval,30,30,14,14,students in Fall/Spring 30/0; students out Fall/Spring 10/20; staff in Fall/Spring 7/7; staff out Fall/Spring 7/7 · Term: Fall and Spring · Dormitory: Yes · Meals: 2 meals a day for academic staff,"Biznes, Menedjment, Qarjy, Aqpárattyq júıeler, Qazaq tili me"
24,36,Almaty University of Management,"Almaty Management University, Kazakhstan",Kazakhstan,asosiy jadval,20,20,10,10,students in Fall/Spring 10/10; students out Fall/Spring 10/10; staff in Fall/Spring 5/5; staff out Fall/Spring 5/5 · Term: Fall and Spring · Dormitory: No · Meals: No,"Educational Programs, Tourism and Events Management, Restaur"
25,28,Akhmet Yassawi University,HOCA AHMET YESEVİ ULUSLARARASI TÜRK-KAZAK ÜNİVERSİTESİ,Kazakhstan,asosiy jadval,150,150,50,50,Term: Fall and Spring · Dormitory: Yes · Meals: 2 ÖĞÜN,"MÜHENDİSLİK FAKÜLTESİ: Bilgisayar Mühendisliği Bölümü, Elekt"
26,30,Atyrau State University,Kh.Dosmukhamedov Atyrau Üniversitesi/ Kh.Dosmukhamedov Atyrau University,Kazakhstan,asosiy jadval,20,10,20,20,students in Fall/Spring 5/5; students out Fall/Spring 10/10; staff in Fall/Spring 10/10; staff out Fall/Spring 10/10 · Term: Fall and Spring · Dormitory: Yes · Meals: Yes,1. Faculty of innovative education 2. Faculty of Natural Sci
27,137,Kazakh National Academy of Choreography,Kazakhstan - Kazakh national academy of choreography,Kazakhstan,asosiy jadval,8,8,2,2,students in Fall/Spring 4/4; students out Fall/Spring 4/4; staff in Fall/Spring 1/1; staff out Fall/Spring 1/1 · Term: Fall and Spring · Dormitory: Yes · Meals: No,"Faculty of choreography (Bachelors - ""Pedagogy of choreograp"
28,40,International University of Tourism and Hospitality,Uluslararası Turizm ve Misafirperverlik Üniversitesi/International University of Tourism and Hospitality,Kazakhstan,asosiy jadval,20,20,8,8,students in Fall/Spring 10/10; students out Fall/Spring 10/10; staff in Fall/Spring 4/4; staff out Fall/Spring 4/4 · Term: Fall and Spring · Dormitory: Dormitory is available only for students · Meals: No,Bachelor's Degrees: 1. 6B11102 – International and Domestic 
29,134,East Kazakhstan Technical University,Doğu Kazakistan D.Serikbayev Teknik Üniversitesi/D.Serikbayev East Kazakhstan Technical University,Kazakhstan,asosiy jadval,20,14,10,10,students in Fall/Spring 7/7; students out Fall/Spring 10/10; staff in Fall/Spring 5/5; staff out Fall/Spring 5/5 · Term: Fall and Spring · Dormitory: Yes · Meals: No,Educational programs in RUSSIAN LANGUAGE FOR BACHELOR DEGREE
30,27,L.N.Gumilyov Eurasian National University,L.N. Gumilyov Avrasya Ulusal Üniversitesi/L.N.Gumilyov Eurasian National University,Kazakhstan,asosiy jadval,40,40,20,20,students in Fall/Spring 20/20; students out Fall/Spring 20/20; staff in Fall/Spring 10/10; staff out Fall/Spring 10/10 · Term: Fall and Spring · Dormitory: Accommodation for teachers is provided on a paid basis · Meals: No,Tüm fakülteler/all faculties https://www.enu.kz/en/page/univ
31,42,Doğu Akdeniz Üniversitesi (Cyprus),Doğu Akdeniz Üniversitesi / Eastern Mediterranean University,Turkish Republic of Northern Cyprus,asosiy jadval,40,100,10,10,students in Fall/Spring 50/50; students out Fall/Spring 20/20; staff in Fall/Spring 5/5; staff out Fall/Spring 5/5 · Term: Fall and Spring · Dormitory: please read additional information section) · Meals: please read additional information section),Aşağıda belirtilen tüm fakülte ve yüksek okullarda sunulan t
32,8,Arkin University of Creative Arts and Design,Arkın Yaratıcı Sanatlar ve Tasarım Üniversitesi / Arkin University of Creative Arts and Design (ARUCAD),Turkish Republic of Northern Cyprus,asosiy jadval,4,4,0,3,Term: Fall · Dormitory: Yes · Meals: No,Arkeoloji Digital Oyun Tasarımı Endüstriyel Tasarım Film Tas
33,48,Kyrgyz-Turkish Manas University,Kırgızistan-Türkiye Manas Üniversitesi / Kyrgyz-Turkish Manas University,Kyrgyzstan,asosiy jadval,80,80,40,20,students in Fall/Spring 40/40; students out Fall/Spring 40/40; staff in Fall/Spring 10/10; staff out Fall/Spring 20/20 · Term: Fall and Spring · Dormitory: Yes · Meals: Yes,"İngiliz Dili ve Edebiyatı, Çin ve Rus Dili ve Edebiyatı, Fel"
34,49,Osh State University,Oş Devlet Üniversitesi / Osh State University,Kyrgyzstan,asosiy jadval,60,40,30,30,students in Fall/Spring 20/20; students out Fall/Spring 30/30; staff in Fall/Spring 15/15; staff out Fall/Spring 15/15 · Term: Fall and Spring · Dormitory: Yes · Meals: No,"Kırgız Dili ve Edebiyatı, Rus Dili ve Edebiyatı, İngiliz Dil"
35,45,Kyrgyz National University,Jusup Balasagyn adına Kyrgyz Ulusal Üniversitesi / Kyrgyz National University named after Jusup Balasagyn,Kyrgyzstan,asosiy jadval,40,40,20,20,students in Fall/Spring 20/20; students out Fall/Spring 20/20; staff in Fall/Spring 10/10; staff out Fall/Spring 10/10 · Term: Fall and Spring · Dormitory: Yes · Meals: No,"Kimya ve Kimya Teknolojisi (Rusça), Gazetecilik (Rusça), Fiz"
36,46,Bishkek Humanities University,Bishkek State University named after K. Karasayev,Kyrgyzstan,asosiy jadval,60,6,10,6,"students in Fall/Spring 3/3; students out Fall/Spring 30/30; staff in Fall/Spring 3/3; staff out Fall/Spring 5/5 · Term: Fall and Spring · Dormitory: Dormitory for studants,guest house for teachers,Yes · Meals: one meal a day (lunch),Yes","Sociology, Business Management and Business Informatics, Tra"
37,47,International University of Kyrgyzstan,Kırgızistan Uuslarararsı Üniversitesi / International University of the Kyrgyz Republic,Kyrgyzstan,asosiy jadval,60,20,40,20,"students in Fall/Spring 10/10; students out Fall/Spring 30/30; staff in Fall/Spring 10/10; staff out Fall/Spring 20/20 · Term: Fall and Spring · Dormitory: 1+1, 2+1 Daire · Meals: No meals are provided",1) İktisad bilimler/ Economy Studies(Lisans ve Yüksek lisans
38,175,Szechenyi Istvan University of Györ,Széchenyi István University,Hungary,asosiy jadval,2,2,4,4,students in Fall/Spring 1/1; students out Fall/Spring 1/1; staff in Fall/Spring 2/2; staff out Fall/Spring 2/2 · Term: Fall and Spring · Dormitory: No · Meals: No,"Engineering, Architecture, Civil Engineering, Humanities, So"
39,113,University of World Economy and Diplomacy (UWED),University of World Economy and Diplomcy (UWED),Uzbekistan,asosiy jadval,10,10,10,10,Fall/Spring 5/5 · Term: Fall and Spring · Dormitory: Yes · Meals: No,"English Language department, Oriental Languages department, "
40,115,Kokand University,Kokand University,Uzbekistan,asosiy jadval,10,20,14,14,students in Fall/Spring 10/10; students out Fall/Spring 5/5; staff in Fall/Spring 6/8; staff out Fall/Spring 6/8 · Term: Fall and Spring · Dormitory: Yes · Meals: 2 times a meal from Monday to Friday,"BACHELOR: Finance and financial technologies, Economics, Tou"
41,4,Tashkent International University,Tashkent International University,Uzbekistan,asosiy jadval,10,4,4,4,"students in Fall/Spring 2/2; students out Fall/Spring 5/5; staff in Fall/Spring 2/2; staff out Fall/Spring 2/2 · Term: Fall and Spring · Dormitory: Yes · Meals: Five working days per week (Monday to Friday), excluding public holidays and non-working days","Economics, Law, Philosophy, Management, Computer Engineering"
42,112,Tashkent State University of Uzbek language and literature,Alisher Navoiy nomidagi Toshkent davlat o'zbek tili va adabiyoti universiteti / Alisher Navo'i Tashkent State University of Uzbek Language and Literature,Uzbekistan,asosiy jadval,6,10,,2,Term: Fall and Spring · Dormitory: Konaklama temin edilecekdir · Meals: Not available,60230100 – Filologiya va tillarni o‘qitish (o‘zbek tili) 602
43,117,Journalism and Mass Communications University of the Republic of Uzbekistan,Özbekistan Gazetecilik ve Kitle İletişim Üniversitesi,Uzbekistan,asosiy jadval,10,3,3,3,Term: Fall · Dormitory: Yes · Meals: No,"Türk, özbek dili ve adabiyatı, Gazetecilik, Siyasetşinaslık,"
44,120,Uzbekistan State Institute of Arts and Culture,Özbekistan devlet sanat ve kültür enstitüsü / О‘zbekiston davlat san’at va madaniyat instituti,Uzbekistan,asosiy jadval,60,40,20,10,students in Fall/Spring 20/20; students out Fall/Spring 30/30; staff in Fall/Spring 5/5; staff out Fall/Spring 10/10 · Term: Fall and Spring · Dormitory: Yes · Meals: Yes,Aktyorlik sanʼati: dramatik teatr va kino aktyorligi/Aktyorl
45,119,Samarkand State University named after Sharof Rashidov,Sharof Rashidov adındeki Semerkand Devlet Üniversitesi / Samarkand State University named after Sharof Rashidov,Uzbekistan,asosiy jadval,10,10,20,20,students in Fall/Spring 5/5; students out Fall/Spring 5/5; staff in Fall/Spring 10/10; staff out Fall/Spring 10/10 · Term: Fall and Spring · Dormitory: Yes · Meals: hospitaliy,"İngiliz Dili ve Edebiyatı, Özbekçe ve Rusça Dil ve Edebiyatı"
46,114,Tashkent State University of Oriental Studies,Taşkent devlet şarkşinaslik üniversitesi/ Tashkent State University of Oriental Studies,Uzbekistan,asosiy jadval,10,3,3,3,Term: Fall · Dormitory: Yes · Meals: No,"Türk , kore, japon, arap, fors, puştu, urdu, malayça, indone"
47,118,Tashkent State Transport University,Tashkent State Transport University,Uzbekistan,asosiy jadval,31,20,5,10,Term: Fall and Spring · Dormitory: yes · Meals: no,"Economics, Electrical Engineering and Computer Engineering"
48,121,Termiz University of Economics and Service,Termez University of Economics and Service,Uzbekistan,asosiy jadval,40,40,20,20,students in Fall/Spring 20/20; students out Fall/Spring 20/20; staff in Fall/Spring 10/10; staff out Fall/Spring 10/10 · Term: Fall and Spring · Dormitory: Yes · Meals: On a contractual basis,"Department of natural sciences, Department of Medical clinic"
49,92,Balıkesir Üniversitesi,Balıkesir Üniversitesi / Balıkesir University,Turkiye,asosiy jadval,20,20,40,40,students in Fall/Spring 10/10; students out Fall/Spring 10/10; staff in Fall/Spring 20/20; staff out Fall/Spring 20/20 · Term: Fall and Spring · Dormitory: Paid) · Meals: 2 meals Evet,Burhaniye Uygulamalı Bilimler Fakültesi / Burhaniye Faculty 
50,86,Sakarya Üniversitesi,Sakarya Üniversitesi/Sakarya University,Turkiye,asosiy jadval,20,20,10,10,students in Fall/Spring 10/10; students out Fall/Spring 10/10; staff in Fall/Spring 5/5; staff out Fall/Spring 5/5 · Term: Fall and Spring · Dormitory: Yes · Meals: 2 Meals),"Adalet, Aşçılık, Bahçe Tarımı, Bankacılık ve Sigortacılık, B"
51,70,Erzincan Binali Yıldırım Üniversitesi,Erzincan Binali Yıldırım Üniversitesi,Turkiye,"""Erzincan Binali Yıldırım"" varag'i, 38 qator yig'indisi",,84,,63,"Faculty-level breakdown: 38 programmes · Dormitory: Öğrenci için aylık yurt ücreti 2100 TL'dir. Personel için Konukevi günlük ücreti kahvaltı dahil 1200 TL'dir · Meals: Günlük kahvaltı ücreti 100 TL, yemek ücreti 145 TL'dir",The detailed table is on the 2nd sheet. Ayrıntılı tablo 2. s
52,111,Firat Üniversitesi,Fırat Üniversitesi /Fırat University,Turkiye,asosiy jadval,40,60,20,20,"students in Fall/Spring 30/30; students out Fall/Spring 20/20; staff in Fall/Spring 10/10; staff out Fall/Spring 10/10 · Term: Fall and Spring · Dormitory: Paylaşımlı Öğrenci evleri var, kira ücreri ödenmeyecek, sadece aylık elektrik, su, doğal gaz giderini öğrenci ödeyecek · Meals: Haftaiçi tek öğün yemek imkanı",Tüm Bölümler
53,58,Cappadocia University,Kapadokya Üniversitesi /Cappadocia University,Turkiye,asosiy jadval,3,10,2,5,Term: Fall and Spring · Dormitory: Dormitory and guest house unavailable · Meals: 3 meals a day available,Şehir ve Bölge Planlama / İç Mimarlık ve Çevre Tasarımı / Di
54,89,Iğdır Üniversitesi,Iğdır Üniversitesi / Igdır University,Turkiye,asosiy jadval,50,50,20,20,students in Fall/Spring 25/25; students out Fall/Spring 25/25; staff in Fall/Spring 10/10; staff out Fall/Spring 10/10 · Term: Fall and Spring · Dormitory: No · Meals: No,"İngiliz Dili ve Edebiyatı, Sanat Tarihi, Coğrafya, Tarih, Tü"
55,55,Eskisehir Osmangazi University,Eskişehir Osmangazi Üniversitesi/Eskişehir Osmangazi University,Turkiye,asosiy jadval,0,5,0,0,Term: Fall and Spring · Dormitory: Yes · Meals: 2 meals a day,"İngilizce Öğretmenliği, Türk Dili ve Edebiyatı, Uluslararası"
56,74,Artvin Çoruh Ünıversitesi,ARTVİN ÇORUH ÜNİVERSİTESİ / ARTVİN ÇORUH UNIVERSITY,Turkiye,asosiy jadval,10,10,10,10,"Fall/Spring 5/5 · Term: Fall and Spring · Dormitory: Yes, International GuestHouse · Meals: Yes, 2 Meals,Lunch and Dinner (From Monday Till Friday)","Eğitim Fakültesi, Fen-Edebiyat Fakültesi, İşletme Fakültesi,"
57,81,Selçuk Üniversitesi,SELÇUK ÜNİVERSİTESİ / SELÇUK UNIVERSITY,Turkiye,"""Selçuk Üniversitesi"" varag'i, 1 qator yig'indisi",0,10,0,0,Faculty-level breakdown: 1 programmes,
58,141,Karadeniz Technical University,Karadeniz Teknik Üniversitesi / Karadeniz Technical University,Turkiye,asosiy jadval,100,100,40,40,students in Fall/Spring 50/50; students out Fall/Spring 50/50; staff in Fall/Spring 20/20; staff out Fall/Spring 20/20 · Term: Fall and Spring · Dormitory: No · Meals: No,"Diş Hekimliği Bölümü, Eczacilik Bölümü, Arkeoloji Bölümü, Ba"
59,68,Anadolu University,Anadolu Üniversitesi / Anadolu University,Turkiye,"""Anadolu Üniversitesi"" varag'i, 3 qator yig'indisi",14,14,6,6,Faculty-level breakdown: 3 programmes,
60,63,Kahramanmaraş Sütçüimam University,Kahramanmaraş Sütçü İmam Üniversitesi/Kahramanmaraş Sütçü İmam University,Turkiye,"""Kahramanmaraş Sütçü İmam Üniver"" varag'i, 6 qator yig'indisi",33,33,15,15,Faculty-level breakdown: 6 programmes,
61,52,Ege University,Ege Üniversitesi/ Ege University,Turkiye,"""Ege University"" varag'i, 128 qator yig'indisi",186,167,168,205,Faculty-level breakdown: 128 programmes,
62,97,Kayseri Üniversitesi,Kayseri University,Turkiye,asosiy jadval,3,3,4,4,students in Fall term only; students out Spring term only; staff in Fall term only; staff out Spring term only · Term: Fall and Spring · Dormitory: Not available · Meals: Not available,"Develi Sosyal ve Beşeri Bilimler Fakültesi: Tarih, Türk Dili"
63,144,Yozgat Bozok University,Yozgat Bozok Üniversitesi/ Yozgat Bozok University,Turkiye,asosiy jadval,4,4,4,4,Fall/Spring 2/2 · Term: Fall and Spring · Dormitory: Yes · Meals: Yes,"Tarih, Türk Dili ve Edebiyatı / History, Turkish Language an"
64,150,Adana Alparslan Türkeş Science and Technology University,Adana Alparslan Türkeş Blim ve Teknoloji Üniversitesi,Turkiye,asosiy jadval,3,3,0,0,Term: Fall and Spring · Dormitory: No · Meals: Yes,"Yazılım Mühendisliği, Bilgisayar Mühendisliği, Yapay Zeka Mü"
65,94,Ondokuz Mayıs Üniversitesi,Ondokuz Mayıs Üniversitesi/Ondokuz Mayıs University,Turkiye,asosiy jadval,5,20,5,5,students in Fall/Spring 10/10; students out Fall/Spring 0/5; staff in Fall/Spring 2/3; staff out Fall/Spring 0/5 · Term: Fall and Spring · Dormitory: Evet (Yes) · Meals: Lunch),"Felsefe, Sosyoloji, Tarih,Türk Dili ve Edebiyatı, İngilizce "
66,64,İbn Haldun University,İbn Haldun Üniversitesi / Ibn Haldun University,Turkiye,asosiy jadval,5,5,3,3,Term: Fall and Spring · Dormitory: Yes · Meals: Yes,UNDERGRADUATE (BA - Lisans) Philosophy and Artificial Intell
67,71,Hacettepe Üniversitesi,Hacettepe Universitesi/ Hacettepe University,Turkiye,asosiy jadval,0,10,7,7,"Term: Fall and Spring · Dormitory: (Please read the ""additional information"") · Meals: No",1. Çağdaş Türk Lehçeleri bölümü/ Modern Turkic Languages and
68,96,Ankara Hacı Bayram Veli Üniversitesi,Ankara Hacı Bayram Veli Üniversitesi,Turkiye,asosiy jadval,0,10,0,10,Fall/Spring 5/5 · Term: Fall and Spring · Dormitory: No · Meals: No,"Çağdaş Yürk Lehçeleri ve Edebiyatları, Türk Dili ve Edebiyat"
69,75,Karamanoğlu Mehmetbey Üniversitesi,Karamanoglu Mehmetbey Üniversitesi/ Karamanoglu Mehmetbey University,Turkiye,asosiy jadval,5,5,5,5,Term: Fall and Spring · Dormitory: Yes · Meals: Sadece öğle yemeği,Üniversitemizde öğrenci alan tüm bölümler/All departments at
70,155,Bartın University,Bartın Üniversitesi / Bartin University,Turkiye,asosiy jadval,20,40,20,20,students in Fall/Spring 20/20; students out Fall/Spring 10/10; staff in Fall/Spring 10/10; staff out Fall/Spring 10/10 · Term: Fall and Spring · Dormitory: No · Meals: No,"(EF)İngilizce Öğretmenliği, Özel Eğitim Öğretmenliği, Okul Ö"
71,100,Kırklareli Üniversitesi,Kırklareli Üniversitesi/ Kırklareli University,Turkiye,asosiy jadval,30,30,20,20,students in Fall/Spring 15/15; students out Fall/Spring 15/15; staff in Fall/Spring 10/10; staff out Fall/Spring 10/10 · Term: Fall and Spring · Dormitory: Not available · Meals: Lunch only on weekdays (University Hall),Eşleşen bütün bölümler /Corresponding Departments
72,152,Muş Alparslan University,Muş Alparslan Üniversitesi / Mus Alparslan University,Turkiye,asosiy jadval,20,20,15,15,students in Fall/Spring 10/10; students out Fall/Spring 10/10; staff in Fall/Spring 8/7; staff out Fall/Spring 8/7 · Term: Fall and Spring · Dormitory: Yes · Meals: Yes,"Sosyal Bilgiler Öğretmenliği, Türkçe Öğretmenliği, İngilizce"
73,106,KTO-Karatay Üniversitesi,KTO Karatay Üniversitesi,Turkiye,"""KTO Karatay Üniversitesi"" varag'i, 8 qator yig'indisi",22,22,6,4,Faculty-level breakdown: 8 programmes,
74,83,Tokat Gaziosmanpaşa Üniversitesi,Tokat Gaziosmanpaşa Üniversitesi /Tokat Gaziosmanpaşa University,Turkiye,asosiy jadval,0,1,0,0,Term: Spring · Dormitory: Yes · Meals: Yes,Bilişim Güvenliği / Cyber Security
75,54,Bitlis Eren University,Bitlis Eren Üniversitesi / Bitlis Eren University,Turkiye,asosiy jadval,4,4,4,4,Fall/Spring 2/2 · Term: Fall and Spring · Dormitory: Yes · Meals: Yes,"İngiliz Dili ve Edebiyatı, Sosyoloji, Tarih, Türk Dili ve Ed"
76,82,Dokuz Eylül Üniversitesi,Dokuz Eylül University,Turkiye,asosiy jadval,0,0,1,1,Term: Fall and Spring · Dormitory: Misafirhane Guest House · Meals: Yok No,Edebiyat Fakültesi / Dilbilimi Bölümü Faculty of Letters/The
77,151,Fatih Sultan Mehmet Vakıf University,Fatih Sultan Mehmet Vakıf Üniversitesi (FSMVÜ)/Fatih Sultan Mehmet Vakif University (FSMVU),Turkiye,asosiy jadval,5,5,5,5,Term: Fall and Spring · Dormitory: No · Meals: LUNCH (WEEKDAYS),"LİSANS EĞİTİM SEVİYESİ Arapça Öğretmenliği (%30 Arapça), Oku"
78,60,Alanya Alaaddin Keykubat Üniversitesi,Alanya Alaaddin Keykubat Üniversitesi/ Alanya Alaaddin Keykubat University,Turkiye,"""AAKÜ"" varag'i, 26 qator yig'indisi",69,68,54,54,Faculty-level breakdown: 26 programmes,
79,148,Van Yüzüncü Yıl University,Van Yüzüncü Yıl Üniversitesi / Van Yüzüncü Yıl University,Turkiye,asosiy jadval,0,0,3,0,Term: Fall and Spring · Dormitory: No · Meals: No,Hiçbiri/None
80,67,Afyonkarahisar Sağlık Bilimleri University,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ / AFYONKARHİSAR HEALTH SCİENCES UNİVERSİTY,Turkiye,asosiy jadval,0,10,0,10,Fall/Spring 5/5 · Term: Fall and Spring · Dormitory: VAR* (AVAILABLE) · Meals: ÖĞLE YEMEĞİ (HAFTA İÇİ) LUNCH (FROM MONDAY TİLL FRİDAY),"TIP / MEDICINE, DİŞ HEKİMLİĞİ / DENTISTRY, ECZACILIK / PHARM"
81,85,Ankara Müzik ve Güzel Sanatlar Üniversitesi,Ankara Müzik ve Güzel Sanatlar ÜniversitesiAnkara Music and Fine Arts University,Turkiye,asosiy jadval,15,15,5,5,students in Fall/Spring 8/7; students out Fall/Spring 8/7; staff in Fall/Spring 3/2; staff out Fall/Spring 3/2 · Term: Fall and Spring · Dormitory: yes · Meals: yes (every weekday),"Müzikoloji,Müzik Teorisi,Müzik Teknolojileri,Müzik Bölümü (ö"
82,77,Ankara Yıldırım Beyazıt Üniversitesi,Ankara Yıldırım Beyazıt/ Üniversitesi/Ankara Yıldırım Beyazıt University,Turkiye,asosiy jadval,5,5,5,5,Term: Fall and Spring · Dormitory: No · Meals: No,"İnsan ve Toplum Bilimleri, Havacılık ve Uzay Bilimleri, Huku"
83,53,Ataturk University,Atatürk Üniversitesi,Turkiye,asosiy jadval,8,8,8,8,Fall/Spring 4/4 · Term: Fall and Spring · Dormitory: Yurt imkanı var · Meals: 1 Öğün Yemek,"Tıp, Diş Hekimliği, Eczacılık, Hukuk ve Mühendislik fakültel"
84,62,Bursa Uludağ Üniversitesi,Bursa Uludağ Üniversitesi,Turkiye,asosiy jadval,12,20,0,20,Term: Fall and Spring · Dormitory: Depending on the availability · Meals: Depending on the availability,Eğitim Fakültesi (4) Fen-Edebiyat Fakültesi (2) Güzel Sanatl
85,140,Necmettin Erbakan University,Necmettin Erbakan Universitesi,Turkiye,asosiy jadval,0,0,4,4,Term: Fall and Spring · Dormitory: No · Meals: 2 öğün yemek 5 gün,sınırlama yok
